year	month	day	hour	minute	econd	Hs_S2(m)
2023	6	1	21	50	0	0.044108482
2023	6	1	22	0	0	0.10693208
2023	6	1	22	10	0	0.14648249
2023	6	1	22	20	0	0.142897194
2023	6	1	22	30	0	0.142396011
2023	6	1	22	40	0	0.14157085
2023	6	1	22	50	0	0.121863755
2023	6	1	23	0	0	0.120130749
2023	6	1	23	10	0	0.104907419
2023	6	1	23	20	0	0.110841007
2023	6	1	23	30	0	0.117517152
2023	6	1	23	40	0	0.117154359
2023	6	1	23	50	0	0.113729419
2023	6	2	0	0	0	0.080791951
2023	6	2	0	10	0	0.056044099
2023	6	2	10	40	0	0.039356806
2023	6	2	10	50	0	0.062630966
2023	6	2	11	0	0	0.105200352
2023	6	2	11	10	0	0.095366934
2023	6	2	11	20	0	0.088470507
2023	6	2	11	30	0	0.086532483
2023	6	2	11	40	0	0.060872276
2023	6	2	11	50	0	0.048554263
2023	6	2	12	0	0	0.029387465
2023	6	2	22	20	0	0.040569882
2023	6	2	22	30	0	0.105091761
2023	6	2	22	40	0	0.12628415
2023	6	2	22	50	0	0.121239043
2023	6	2	23	0	0	0.120663816
2023	6	2	23	10	0	0.135042532
2023	6	2	23	20	0	0.133519596
2023	6	2	23	30	0	0.136295945
2023	6	2	23	40	0	0.113353159
2023	6	2	23	50	0	0.115844092
2023	6	3	0	0	0	0.106964684
2023	6	3	0	10	0	0.097236279
2023	6	3	0	20	0	0.089145506
2023	6	3	0	30	0	0.106818394
2023	6	3	0	40	0	0.084758627
2023	6	3	0	50	0	0.075730635
2023	6	3	1	0	0	0.051292503
2023	6	3	1	10	0	0.025256343
2023	6	3	1	20	0	0.001464913
2023	6	3	1	30	0	0.001067883
2023	6	3	11	0	0	0.001384304
2023	6	3	11	10	0	0.028149823
2023	6	3	11	20	0	0.073674758
2023	6	3	11	30	0	0.106203728
2023	6	3	11	40	0	0.183014292
2023	6	3	11	50	0	0.151320926
2023	6	3	12	0	0	0.162370283
2023	6	3	12	10	0	0.13441395
2023	6	3	12	20	0	0.136994877
2023	6	3	12	30	0	0.10994133
2023	6	3	12	40	0	0.083809747
2023	6	3	12	50	0	0.016287512
2023	6	3	13	0	0	0.001902925
2023	6	3	22	50	0	0.001596925
2023	6	3	23	0	0	0.034592719
2023	6	3	23	10	0	0.125308501
2023	6	3	23	20	0	0.209574193
2023	6	3	23	30	0	0.230582744
2023	6	3	23	40	0	0.237568082
2023	6	3	23	50	0	0.205488846
2023	6	4	0	0	0	0.255772824
2023	6	4	0	10	0	0.208233164
2023	6	4	0	20	0	0.200703319
2023	6	4	0	30	0	0.186312237
2023	6	4	0	40	0	0.181782727
2023	6	4	0	50	0	0.143428846
2023	6	4	1	0	0	0.157605141
2023	6	4	1	10	0	0.143558907
2023	6	4	1	20	0	0.134939546
2023	6	4	1	30	0	0.098877633
2023	6	4	1	40	0	0.087372459
2023	6	4	1	50	0	0.056617224
2023	6	4	2	0	0	0.012462591
2023	6	4	2	10	0	0.001609209
2023	6	4	12	0	0	0.001351809
2023	6	4	12	10	0	0.025890665
2023	6	4	12	20	0	0.067382308
2023	6	4	12	30	0	0.116424294
2023	6	4	12	40	0	0.121718079
2023	6	4	12	50	0	0.142122619
2023	6	4	13	0	0	0.125125416
2023	6	4	13	10	0	0.082531934
2023	6	4	13	20	0	0.051006513
2023	6	4	13	30	0	0.025519439
2023	6	4	13	40	0	0.002426259
2023	6	4	23	30	0	0.000939999
2023	6	4	23	40	0	0.067036251
2023	6	4	23	50	0	0.170004829
2023	6	5	0	0	0	0.278515427
2023	6	5	0	10	0	0.290843583
2023	6	5	0	20	0	0.30534384
2023	6	5	0	30	0	0.268690766
2023	6	5	0	40	0	0.318635267
2023	6	5	0	50	0	0.313080402
2023	6	5	1	0	0	0.293426664
2023	6	5	1	10	0	0.281751471
2023	6	5	1	20	0	0.271671289
2023	6	5	1	30	0	0.248281312
2023	6	5	1	40	0	0.223435322
2023	6	5	1	50	0	0.214056156
2023	6	5	2	0	0	0.223121508
2023	6	5	2	10	0	0.166453571
2023	6	5	2	20	0	0.183086355
2023	6	5	2	30	0	0.113104834
2023	6	5	2	40	0	0.088672456
2023	6	5	2	50	0	0.017868089
2023	6	5	3	0	0	0.001190119
2023	6	5	12	40	0	0.001112073
2023	6	5	12	50	0	0.015891959
2023	6	5	13	0	0	0.060352169
2023	6	5	13	10	0	0.110735065
2023	6	5	13	20	0	0.124376465
2023	6	5	13	30	0	0.134151059
2023	6	5	13	40	0	0.144599567
2023	6	5	13	50	0	0.091618573
2023	6	5	14	0	0	0.052983687
2023	6	5	14	10	0	0.02233451
2023	6	5	14	20	0	0.001461046
2023	6	6	0	10	0	0.001165177
2023	6	6	0	20	0	0.044434447
2023	6	6	0	30	0	0.127648371
2023	6	6	0	40	0	0.207809409
2023	6	6	0	50	0	0.256617668
2023	6	6	1	0	0	0.256251154
2023	6	6	1	10	0	0.240417668
2023	6	6	1	20	0	0.212414494
2023	6	6	1	30	0	0.19802191
2023	6	6	1	40	0	0.167525053
2023	6	6	1	50	0	0.17412001
2023	6	6	2	0	0	0.167917944
2023	6	6	2	10	0	0.139781418
2023	6	6	2	20	0	0.141895776
2023	6	6	2	30	0	0.149757278
2023	6	6	2	40	0	0.152012821
2023	6	6	2	50	0	0.119289131
2023	6	6	3	0	0	0.122966215
2023	6	6	3	10	0	0.10444093
2023	6	6	3	20	0	0.077156561
2023	6	6	3	30	0	0.012147924
2023	6	6	3	40	0	0.001386328
2023	6	6	13	40	0	0.001267239
2023	6	6	13	50	0	0.036782891
2023	6	6	14	0	0	0.092295798
2023	6	6	14	10	0	0.087706399
2023	6	6	14	20	0	0.088576239
2023	6	6	14	30	0	0.078400909
2023	6	6	14	40	0	0.044001923
2023	6	6	14	50	0	0.005103358
2023	6	6	15	0	0	0.001185341
2023	6	7	1	0	0	0.02147319
2023	6	7	1	10	0	0.086143429
2023	6	7	1	20	0	0.098641524
2023	6	7	1	30	0	0.092853225
2023	6	7	1	40	0	0.110176754
2023	6	7	1	50	0	0.099211002
2023	6	7	2	0	0	0.10219539
2023	6	7	2	10	0	0.102875749
2023	6	7	2	20	0	0.075813197
2023	6	7	2	30	0	0.074359459
2023	6	7	2	40	0	0.072248348
2023	6	7	2	50	0	0.066511032
2023	6	7	3	0	0	0.070900551
2023	6	7	3	10	0	0.071616179
2023	6	7	3	20	0	0.063907521
2023	6	7	3	30	0	0.054609631
2023	6	7	3	40	0	0.054644225
2023	6	7	3	50	0	0.051273152
2023	6	7	4	0	0	0.04240296
2023	6	7	4	10	0	0.03274482
2023	6	7	4	20	0	0.006266608
2023	6	7	4	30	0	0.001717983
