waterdepth(m)	Hs(m)
0.057175725	0.000750347
0.100234243	0.084473942
0.284326814	0.147455431
0.442730436	0.149060915
0.590308024	0.139645488
0.682896671	0.134280834
0.72119244	0.141403039
0.78970242	0.127312289
0.795650186	0.128600359
0.769004111	0.120786293
0.7638392	0.116412937
0.655007875	0.141383163
0.550899192	0.127229034
0.412389091	0.122795918
0.270671299	0.099148756
0.197822503	0.064876536
0.04543328	0.000687701
0.044253269	0.000678202
0.082386043	0.001435003
0.126869031	0.064884453
0.195327565	0.104262221
0.321336482	0.123748998
0.322734785	0.111008088
0.371175829	0.101360824
0.350835797	0.09692306
0.291831304	0.079363219
0.215665593	0.068356188
0.138105416	0.038170392
0.084329262	0.001010024
0.096931381	0.001074251
0.096700501	0.001090483
0.308495247	0.001184897
0.493574345	0.124329413
0.694444971	0.137594376
0.864266062	0.128437724
1.032610244	0.131160438
1.051605036	0.123847769
1.152685562	0.132180832
1.174736622	0.111451285
1.148013549	0.109982015
1.129229374	0.100506953
1.049955817	0.100422247
0.902585484	0.104781757
0.79411031	0.107736641
0.679778644	0.079482232
0.570863302	0.073944091
0.361746643	0.065107416
0.192941664	0.04391433
0.095969383	0.001344187
0.093224488	0.001039631
0.101908123	0.001453006
0.10165159	0.068576466
0.238133294	0.108724284
0.33728875	0.153260411
0.480257008	0.190203747
0.495684858	0.187577825
0.532019483	0.190710392
0.539120998	0.175054417
0.454424518	0.156071873
0.395531614	0.136834409
0.328584578	0.091465781
0.166382724	0.032396668
0.143774947	0.001568496
0.356692109	0.167113484
0.553510165	0.212597553
0.749967809	0.241395519
0.915771635	0.227672772
1.126848478	0.234119575
1.209854662	0.236477737
1.302749242	0.194330983
1.330354247	0.19115639
1.284008151	0.183291026
1.279355003	0.162432508
1.234184888	0.166417192
1.077986358	0.151126409
0.951718093	0.154861901
0.854660686	0.121757561
0.749531523	0.099805858
0.530685146	0.098280033
0.347109065	0.064281002
0.148925002	0.036093792
0.122655407	0.001662889
0.238787511	0.099684736
0.354851185	0.148670769
0.375037322	0.144353654
0.396397576	0.173780585
0.391516123	0.144952786
0.309245706	0.096123693
0.227005232	0.066821439
0.161136408	0.056202752
0.118672677	0.002358237
0.188849724	0.102369083
0.418996142	0.199721476
0.642240912	0.284198869
0.854866011	0.288657064
1.060589139	0.260584711
1.269946061	0.258991843
1.328370984	0.319701446
1.43598428	0.331475415
1.489447058	0.262174707
1.451761677	0.252855661
1.473406109	0.274180843
1.422415075	0.229006282
1.275369353	0.21799448
1.135422287	0.226559626
1.052946231	0.188055785
0.915470053	0.165967547
0.723245515	0.145818801
0.539974209	0.11393755
0.357756895	0.084780959
0.120397884	0.024041971
0.095494798	0.001194969
0.205692166	0.078151164
0.282030575	0.136286211
0.38215096	0.140875108
0.373767262	0.154000891
0.393851008	0.144156719
0.297020327	0.097494214
0.213779937	0.062262098
0.150861889	0.039922635
0.09999695	0.001183107
0.086330202	0.001474378
0.083053022	0.081138903
0.329848187	0.172561955
0.568617969	0.253750767
0.768548572	0.258818868
0.978906274	0.248575011
1.174441407	0.235933304
1.304610527	0.189187398
1.378717123	0.201385851
1.468232472	0.181706078
1.447878292	0.181723671
1.390212751	0.156611937
1.376329432	0.15091979
1.242900476	0.136971046
1.101685645	0.175586223
0.981088023	0.146346389
0.874808302	0.125669016
0.672695743	0.116872498
0.487942047	0.114287927
0.297815679	0.078025695
0.124553781	0.0373105
0.087670577	0.002737217
0.171815052	0.06437042
0.269850304	0.100306048
0.306975088	0.096568509
0.294050587	0.098618885
0.298412193	0.080149836
0.210970699	0.045438678
0.122232121	0.001671588
0.098085778	0.001412453
0.069392835	0.001319359
0.327603196	0.090387287
0.564781664	0.097583235
0.783972824	0.094410903
1.010362243	0.095471515
1.212030312	0.099074112
1.35229226	0.084320856
1.434334659	0.090134091
1.545087758	0.072537817
1.565321226	0.073840912
1.557637356	0.07229391
1.539702053	0.06953343
1.411503311	0.068227474
1.270639214	0.07016293
1.163428676	0.062377227
1.103886815	0.0502607
0.910920659	0.055310428
0.72320702	0.041584553
0.54112893	0.037653302
0.335832706	0.034583564
0.133192695	0.002944904
0.110399405	0.00128155
