waterdepth(m)	k(m-1)
0.100234243	0.037486188
0.284326814	0.01404512
0.442730436	0.007972574
0.590308024	0.006101971
0.682896671	0.000692671
0.72119244	0.006729119
0.78970242	0.000971238
0.795650186	0.006342077
0.769004111	-0.000506934
0.7638392	0.00546546
0.655007875	0.007907927
0.550899192	0.009401478
0.412389091	0.007005813
0.270671299	0.015420601
0.197822503	0.005614447
0.126869031	0.026334868
0.195327565	0.027118216
0.321336482	0.013051963
0.322734785	0.011598264
0.371175829	0.009208607
0.350835797	0.011356296
0.291831304	0.014009013
0.215665593	0.018162328
0.138105416	0.024256034
0.308495247	-0.106653675
0.493574345	0.00361149
0.694444971	0.004767395
0.864266062	-1.02E-05
1.032610244	-2.98E-05
1.051605036	-0.000147207
1.152685562	0.008147526
1.174736622	0.005360039
1.148013549	0.005360245
1.129229374	0.000500755
1.049955817	-1.62E-05
0.902585484	0.011573095
0.79411031	0.000805022
0.679778644	0.004122341
0.570863302	0.005873104
0.361746643	0.010722694
0.192941664	0.035394596
0.10165159	0.054935287
0.238133294	0.028334337
0.33728875	0.019713477
0.480257008	0.007428868
0.495684858	0.011649951
0.532019483	0.006970151
0.539120998	0.00304901
0.454424518	0.00535603
0.395531614	0.011614766
0.328584578	0.003237545
0.166382724	0.037887314
0.356692109	0.010873132
0.553510165	0.002409049
0.749967809	0.001062342
0.915771635	0.001265737
1.126848478	-0.000451309
1.209854662	0.000622785
1.302749242	-0.005347194
1.330354247	-0.008487664
1.284008151	0.007708963
1.279355003	-0.001906917
1.234184888	0.005917489
1.077986358	0.002134358
0.951718093	0.008064076
0.854660686	-0.004937862
0.749531523	0.008764057
0.530685146	0.002327507
0.347109065	0.00573187
0.148925002	0.06303703
0.238787511	0.01904229
0.354851185	0.00903299
0.375037322	0.004575065
0.396397576	0.011170169
0.391516123	0.010368657
0.309245706	0.005352316
0.227005232	0.016848267
0.161136408	0.043582356
0.188849724	0.029751955
0.418996142	0.008775522
0.642240912	0.005029674
0.854866011	-0.003878133
1.060589139	-0.006722936
1.269946061	-0.009878021
1.328370984	0.002965434
1.43598428	0.000788126
1.489447058	-0.013443289
1.451761677	-0.005960659
1.473406109	-0.012482335
1.422415075	-0.00236528
1.275369353	0.00290003
1.135422287	0.004437733
1.052946231	-0.007678236
0.915470053	-0.001016791
0.723245515	-0.001721741
0.539974209	0.007239855
0.357756895	0.00028011
0.120397884	0.045581534
0.205692166	0.019477608
0.282030575	0.014036892
0.38215096	0.008317753
0.373767262	0.008752596
0.393851008	0.001979573
0.297020327	0.002620394
0.213779937	0.010229831
0.150861889	0.039736094
0.083053022	0.037653089
0.329848187	0.012351712
0.568617969	0.004817388
0.768548572	-6.51E-06
0.978906274	0.002568932
1.174441407	-0.001679941
1.304610527	0.001004957
1.378717123	0.003482579
1.468232472	0.003374941
1.447878292	-0.000885542
1.390212751	-0.007702844
1.376329432	0.004535677
1.242900476	0.005241355
1.101685645	0.007201096
0.981088023	0.001129883
0.874808302	-0.000999108
0.672695743	-0.001143999
0.487942047	0.005525124
0.297815679	0.007644181
0.124553781	0.075707241
0.171815052	0.030100495
0.269850304	0.010607269
0.306975088	0.007355017
0.294050587	0.012022215
0.298412193	0.009416157
0.210970699	0.009321197
0.327603196	0.005666762
0.564781664	-0.001790928
0.783972824	-0.0087461
1.010362243	-0.003126528
1.212030312	0.001222772
1.35229226	-0.006056771
1.434334659	-0.000861687
1.545087758	-0.006393977
1.565321226	-0.000108175
1.557637356	-0.000413692
1.539702053	-0.0011419
1.411503311	0.004674957
1.270639214	0.00217723
1.163428676	-0.002762275
1.103886815	0.001061636
0.910920659	0.003716052
0.72320702	-0.003837586
0.54112893	-0.0050877
0.335832706	0.0017094
0.133192695	-0.034062249
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
