waterdepth(m)	Hs(m)
0.062025336	0.081187212
0.222058114	0.11789319
0.366977659	0.129111562
0.457189175	0.117822643
0.496823566	0.125735988
0.567854304	0.117038831
0.569491096	0.109401245
0.543843987	0.101784658
0.539771432	0.108222688
0.433284169	0.102446038
0.331567583	0.098025936
0.194827259	0.079517588
0.001388155	0.000575126
0.007268809	0.030925029
0.123541661	0.06766029
0.117254612	0.067474151
0.165110453	0.06138644
0.145720522	0.053947403
0.095198668	0.024181108
0.03443742	0.008874325
0.00402253	0.000680208
0.007558656	0.000673676
0.080801973	0.003430461
0.27065259	0.109075206
0.470868723	0.110413923
0.634900149	0.126567513
0.805019053	0.126094307
0.823414169	0.123357662
0.925900875	0.128970254
0.949557854	0.10673319
0.922323362	0.108496316
0.90458421	0.10263693
0.826856033	0.090045274
0.679883027	0.090108172
0.569536204	0.095417135
0.452240607	0.073422673
0.346437626	0.054277519
0.141101771	0.02734668
0.040157207	0.000891695
0.042984904	0.000796713
0.043970413	0.022244174
0.131123525	0.067816031
0.264474288	0.128537142
0.273764301	0.111191797
0.309546342	0.13200122
0.31725824	0.109985749
0.236308338	0.079562525
0.180629066	0.054872581
0.119238636	0.019236313
0.041992955	0.000910105
0.04022806	0.000797403
0.131844997	0.100004727
0.333255594	0.182223068
0.527173661	0.208301845
0.695562985	0.210340448
0.902972744	0.205774269
0.985656593	0.220589463
1.082928751	0.172784208
1.109547972	0.187824813
1.067127695	0.170823422
1.061461027	0.149873783
1.015554905	0.146339231
0.861397688	0.140746457
0.734154729	0.122572938
0.635054815	0.109183035
0.53050513	0.084017168
0.312567957	0.063567065
0.132862787	0.021888274
0.012344359	0.000591487
0.009619791	0.000542003
0.044724038	0.01806289
0.159531789	0.068796831
0.177582016	0.073663934
0.197165726	0.093051764
0.18785054	0.06508322
0.112410514	0.019225475
0.02759046	0.001992097
0.019506846	0.000804094
0.019796696	0.000832714
0.195664726	0.151357407
0.419166909	0.232553277
0.632470606	0.262461402
0.836672491	0.276190929
1.041379703	0.274095783
1.105576649	0.290486818
1.210266662	0.291688642
1.264504285	0.266753748
1.227114107	0.270039747
1.251383096	0.271440286
1.202110598	0.24056345
1.05454373	0.217009167
0.914040331	0.199096964
0.830832882	0.173543166
0.690020519	0.148494423
0.499897203	0.13300305
0.315905272	0.081669117
0.136225368	0.031502152
0.081504089	0.074597769
0.176222764	0.080399064
0.164124844	0.094357819
0.193622597	0.08007331
0.101047576	0.026897076
0.012144686	0
0.101388978	0.111088978
0.346495611	0.204337805
0.54888315	0.258870454
0.758007728	0.229913244
0.951220951	0.222726949
1.081433089	0.193097001
1.153826537	0.204438637
1.244026265	0.168334954
1.228210199	0.161251026
1.171511341	0.163231248
1.157553025	0.135913674
1.026443026	0.142203737
0.883222802	0.169925165
0.761049809	0.139974981
0.652061756	0.129451611
0.450378455	0.105039987
0.268178688	0.065690568
0.083842334	0.017410052
0.043513085	0.0352582
0.087417345	0.024268859
0.072511874	0.034679823
0.076511984	0.017081109
0.09414226	0.074658643
0.340362018	0.085511889
0.562576633	0.096078502
0.787378311	0.091166333
0.984915269	0.091260741
1.125949161	0.089144742
1.211111285	0.088535121
1.320665882	0.073935332
1.344943203	0.076404654
1.337476182	0.07355665
1.321207522	0.068929126
1.191749574	0.069155796
1.0512237	0.067745474
0.945303431	0.065440388
0.882662021	0.049632556
0.688854026	0.050430716
0.49959435	0.041576815
0.315409184	0.034212639
0.113086883	0.016789091
0.012795233	0.000872664
0.006206038	0.000935513
