waterdepth(m)	k(m-1)
0.062025336	0.031586583
0.222058114	0.007512452
0.366977659	-0.004360928
0.457189175	0.011689951
0.496823566	-0.001715251
0.567854304	0.00647125
0.569491096	0.003484579
0.543843987	0.018130211
0.539771432	-0.003635655
0.433284169	0.016397893
0.331567583	0.007272722
0.194827259	0.029442929
0.123541661	0.034271659
0.117254612	0.026589321
0.165110453	0.031732556
0.145720522	0.0358782
0.095198668	0.09082831
0.080801973	0.107003486
0.27065259	0.005866718
0.470868723	0.012472591
0.634900149	0.00148723
0.805019053	0.003998795
0.823414169	0.000690932
0.925900875	-0.013836138
0.949557854	-0.006394537
0.922323362	-0.009360427
0.90458421	-0.003098601
0.826856033	0.010939423
0.679883027	-0.008059309
0.569536204	0.010533112
0.452240607	-0.00031461
0.346437626	0.019173709
0.141101771	0.065298943
0.131123525	4.21E-02
0.264474288	2.43E-02
0.273764301	0.028993819
0.309546342	0.022854182
0.31725824	0.040376588
0.236308338	0.056665283
0.180629066	0.06814624
0.119238636	1.49E-01
0.131844997	0.029599303
0.333255594	0.010598839
0.527173661	0.012620169
0.695562985	0.005386725
0.902972744	0.013807839
0.985656593	0.005709503
1.082928751	0.022446321
1.109547972	0.018733548
1.067127695	-0.008373448
1.061461027	0.011860743
1.015554905	0.001022062
0.861397688	0.002846938
0.734154729	0.007254597
0.635054815	0.020776341
0.53050513	-0.000307543
0.312567957	0.038917525
0.132862787	0.096267566
0.159531789	0.058991678
0.177582016	0.058125161
0.197165726	0.040123417
0.18785054	0.059336818
0.112410514	0.150235328
0.195664726	0.010176937
0.419166909	0.009996142
0.632470606	0.017269798
0.836672491	0.007629431
1.041379703	0.014087936
1.105576649	0.003652071
1.210266662	0.011210418
1.264504285	0.025155094
1.227114107	0.005346284
1.251383096	0.025969242
1.202110598	-0.000192885
1.05454373	-0.005347047
0.914040331	0.004046153
0.830832882	0.023387701
0.690020519	0.013158069
0.499897203	0.012642753
0.315905272	0.018817746
0.136225368	0.098441291
0.081504089	0.032190872
0.176222764	0.039451615
0.164124844	0.031481234
0.193622597	0.054836698
0.101047576	0.123536759
0.101388978	0.019339062
0.346495611	0.012023027
0.54888315	-6.92E-06
0.758007728	0.002666398
0.951220951	0.00912014
1.081433089	-0.004055375
1.153826537	-0.008469672
1.244026265	0.000893585
1.228210199	0.013723575
1.171511341	0.011266
1.157553025	0.001401503
1.026443026	-0.014231834
0.883222802	-0.011124983
0.761049809	0.002191497
0.652061756	-0.00096734
0.450378455	0.012962245
0.268178688	0.04432631
0.083842334	0.134710681
0.087417345	0.123395836
0.072511874	0.080466043
0.076511984	0.135760158
0.09414226	0.007784209
0.340362018	0.016786883
0.562576633	0.015741298
0.787378311	0.010867281
0.984915269	0.005769203
1.125949161	0.006550329
1.211111285	0.003513288
1.320665882	0.010879675
1.344943203	-0.003196716
1.337476182	-0.000904212
1.321207522	0.003156682
1.191749574	-0.010701368
1.0512237	-0.000848215
0.945303431	0.000730614
0.882662021	-0.000865623
0.688854026	0.001803998
0.49959435	0.007693781
0.315409184	1.98E-02
0.113086883	0.068846124
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
