waterdepth(m)	Hs(m)
0.124586029	0.04458481
0.269442793	0.062998984
0.362791445	0.067990876
0.402307739	0.081127048
0.472299553	0.079842819
0.475938652	0.07252359
0.451035181	0.069968584
0.445966175	0.0627196
0.340805063	0.055799804
0.239186784	0.041330661
0.102398902	0.028515293
0.047453336	0.000631071
0.050692551	0.00044493
0.05373804	0.000417937
0.056907669	0.019257195
0.06192705	0.018196223
0.098075441	0.023613766
0.069598511	0.020159602
0.051655238	0.000366521
0.052530135	0.000394967
0.054167921	0.00043107
0.055042823	0.000362034
0.035068841	0.000323161
0.034675303	0.000358125
0.034060779	0.033407446
0.173214872	0.050734767
0.374448464	0.07297772
0.541213952	0.087608819
0.712398792	0.099816815
0.732283579	0.095236058
0.832781694	0.102581282
0.857120418	0.09393451
0.828781969	0.085889866
0.812595416	0.082399743
0.733566009	0.074388587
0.588416306	0.063036582
0.477444599	0.05865631
0.360116551	0.041949319
0.254741581	0.02891634
0.050734934	0.016629223
0.036249456	0.000327075
0.033546154	0.000351216
0.030685455	0.000341988
0.089274232	0.000672247
0.090052316	0.000618318
0.093461371	0.000565681
0.095202238	0.026316596
0.175909893	0.04426164
0.192922194	0.040482418
0.222845113	0.050385152
0.233199416	0.041028203
0.149496326	0.028636368
0.094469559	0.003648363
0.091841613	0.000582066
0.092619701	0.000559453
0.091308759	0.000614831
0.077651561	0.000530545
0.078456873	0.000494435
0.07875054	0.035153354
0.231173358	0.067028497
0.429371851	0.115247168
0.598330168	0.148797347
0.807765032	0.175134216
0.891116726	0.171041524
0.986541193	0.160092473
1.014042986	0.149956059
0.969599864	0.14451594
0.963957949	0.13663234
0.919516637	0.119364748
0.766616332	0.103367678
0.63903954	0.087541075
0.538486515	0.084689918
0.43610101	0.04589447
0.217069941	0.03276819
0.06739757	0.00040489
0.065880834	0.000395229
0.063928157	0.000427957
0.081862816	0.000636068
0.0810908	0.000666462
0.07938026	0.000624245
0.079001823	0.023380856
0.082041439	0.022331057
0.102816717	0.034048994
0.101878147	0.024701843
0.07435161	0.000673429
0.07293173	0.000701549
0.070373536	0.000724061
0.068747802	0.000720024
0.043699507	0.000348048
0.041289806	0.000352551
0.089616347	0.052852573
0.318377477	0.119840822
0.534774196	0.192362725
0.737546718	0.22843248
0.943031901	0.253958528
1.006258834	0.276110966
1.117236428	0.266361255
1.169796258	0.276596513
1.130587467	0.241841282
1.152993813	0.232130183
1.107126309	0.193168973
0.960348373	0.186972904
0.82089482	0.166501941
0.735054602	0.140605837
0.599509178	0.097575077
0.405300984	0.070877088
0.221333931	0.040700416
0.042894254	0.020367856
0.028103273	0.000308682
0.027128525	0.000289481
0.069982996	0.000491106
0.073485756	0.000537315
0.074869307	0.000570582
0.073973177	0.024403226
0.097700016	0.025402953
0.08384887	0.029292065
0.1089205	0.028298099
0.060301346	0.00103112
0.05874225	0.000466685
0.056329445	0.000476319
0.052294004	0.000402242
0.034230303	0.000484435
0.033213162	0.000337422
0.033991154	0.037226107
0.244459487	0.098819665
0.449750503	0.180691543
0.660406496	0.179278498
0.853896813	0.192550426
0.984648343	0.173542686
1.057659125	0.179202135
1.147898883	0.164447316
1.132320096	0.14827939
1.077507252	0.136598238
1.062483032	0.127967488
0.93261928	0.103571788
0.78890185	0.116478023
0.665499064	0.103986965
0.559439705	0.069985258
0.356990308	0.050056843
0.175588913	0.027461112
0.035307991	0.000375049
0.03486299	0.000377618
0.032634967	0.000692053
0.054534229	0.000474872
0.054525147	0.000419338
0.052732966	0.000387711
0.052057872	0.000406356
0.052169883	0.000342373
0.051334343	0.00038336
0.050731907	0.000336803
0.04963602	0.000337241
0.048540136	0.000378324
0.045434135	0.000331987
0.044604661	0.033456984
0.238111657	0.05013508
0.462648959	0.068177673
0.689431852	0.082802226
0.888723862	0.085348538
1.032041687	0.082682991
1.114029202	0.079245396
1.225618676	0.075461259
1.248852208	0.069857001
1.242187053	0.0660676
1.226292447	0.066684804
1.098114777	0.062109174
0.957330304	0.055011125
0.84949358	0.054354429
0.788189303	0.042821527
0.594859838	0.037678474
0.40548579	0.031094911
0.221427812	0.02224162
0.048667282	0.000410747
0.04979344	0.000445103
0.04772882	0.000418636
	
	
	
	
	
	
	
