waterdepth(m)	k(m-1)
0.124586029	0.118951268
0.269442793	0.081900685
0.362791445	0.073923847
0.402307739	0.055678388
0.472299553	0.042284372
0.475938652	0.050466883
0.451035181	0.04050319
0.445966175	0.056942282
0.340805063	0.074481394
0.239186784	0.104188775
0.102398902	0.138338156
0.050692551	0.448250677
0.05373804	0.500968524
0.056907669	0.169798188
0.06192705	0.165651785
0.098075441	0.132083941
0.069598511	0.145683918
0.051655238	0.511247629
0.052530135	0.481163613
0.054167921	0.422205295
0.034675303	0.47298985
0.034060779	0.114605509
0.173214872	0.091192311
0.374448464	0.050760996
0.541213952	0.032012663
0.712398792	0.030225312
0.732283579	0.033788962
0.832781694	0.028417311
0.857120418	0.018791041
0.828781969	0.02991794
0.812595416	0.026091641
0.733566009	2.68E-02
0.588416306	3.47E-02
0.477444599	0.059943499
0.360116551	0.070334534
0.254741581	0.096277592
0.050734934	0.112638306
0.036249456	0.434664351
0.033546154	1.43E-01
0.030685455	0.113865748
0.089274232	0.072232655
0.090052316	0.381829353
0.093461371	0.486938444
0.095202238	0.139515946
0.175909893	0.141944587
0.192922194	0.131853517
0.222845113	0.11701829
0.233199416	0.118666452
0.149496326	0.156526603
0.094469559	0.340566818
0.091841613	0.49697211
0.092619701	0.337119521
0.091308759	0.112980007
0.077651561	0.110193032
0.078456873	0.424798192
0.07875054	0.127105868
0.231173358	0.113995996
0.429371851	0.069353067
0.598330168	0.046786895
0.807765032	0.015983912
0.891116726	0.040238329
0.986541193	0.026290683
1.014042986	0.029148548
0.969599864	0.025403415
0.963957949	0.02855185
0.919516637	0.018365515
0.766616332	0.042180047
0.63903954	0.049463734
0.538486515	0.046583031
0.43610101	0.076753843
0.217069941	0.098072188
0.06739757	0.494045208
0.065880834	0.345102149
0.063928157	0.132447505
0.081862816	0.075389376
0.0810908	0.365965498
0.07938026	0.468159415
0.079001823	0.160532366
0.082041439	0.169572915
0.102816717	0.14288897
0.101878147	0.16224387
0.07435161	0.480855732
0.07293173	0.428641753
0.070373536	0.356231982
0.068747802	0.121482132
0.043699507	0.099353755
0.041289806	5.25E-01
0.089616347	0.116832045
0.318377477	0.084330907
0.534774196	0.041340283
0.737546718	0.029019781
0.943031901	0.005639017
1.006258834	0.014324425
1.117236428	0.016160654
1.169796258	0.005906793
1.130587467	0.015274372
1.152993813	0.015729449
1.107126309	0.025099711
0.960348373	0.017815828
0.82089482	0.025123143
0.735054602	0.046175601
0.599509178	0.053409431
0.405300984	0.09490107
0.221333931	0.102207681
0.042894254	0.147099136
0.069982996	0.081732045
0.073485756	0.338698421
0.074869307	0.466129463
0.073973177	0.151242522
0.097700016	0.158844756
0.08384887	0.152164983
0.1089205	0.163117368
0.060301346	0.448698864
0.05874225	0.473208421
0.056329445	0.384779991
0.052294004	0.128985376
0.034230303	0.087764466
0.033213162	0.488043519
0.033991154	0.123226905
0.244459487	0.074332473
0.449750503	0.035079591
0.660406496	0.035721759
0.853896813	2.22E-02
0.984648343	0.020211593
1.057659125	0.009986327
1.147898883	0.001854266
1.132320096	0.016064651
1.077507252	0.020643139
1.062483032	0.008830367
0.93261928	0.031482784
0.78890185	0.025131323
0.665499064	0.037969931
0.559439705	0.053326559
0.356990308	0.089875042
0.175588913	0.133585074
0.035307991	0.532653643
0.03486299	0.347103155
0.032634967	0.069475196
0.054534229	0.098155079
0.054525147	0.447411196
0.052732966	0.547249379
0.052057872	0.537452052
0.052169883	0.55557182
0.051334343	0.532061692
0.050731907	0.487248969
0.04963602	0.271685714
0.048540136	0.114203436
0.045434135	0.416946549
0.044604661	0.094575314
0.238111657	0.067677134
0.462648959	0.030890289
0.689431852	0.028563098
0.888723862	0.015050559
1.032041687	0.021187266
1.114029202	0.026097263
1.225618676	0.000465299
1.248852208	0.006246057
1.242187053	0.008943099
1.226292447	-0.000260927
1.098114777	0.013238449
0.957330304	0.026378558
0.84949358	0.016191096
0.788189303	0.024316932
0.594859838	0.037175458
0.40548579	0.050012309
0.221427812	0.064525288
0.048667282	0.437852158
0.04979344	0.264468514
0.04772882	0.141190568
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
