year	month	day	hour	minute	econd	NaN
2023	6	1	21	30	0	0.1
2023	6	1	21	40	0	0.26
2023	6	1	21	50	0	0.44
2023	6	1	22	0	0	0.59
2023	6	1	22	10	0	0.74
2023	6	1	22	20	0	0.82
2023	6	1	22	30	0	0.87
2023	6	1	22	40	0	0.92
2023	6	1	22	50	0	0.92
2023	6	1	23	0	0	0.9
2023	6	1	23	10	0	0.88
2023	6	1	23	20	0	0.77
2023	6	1	23	30	0	0.66
2023	6	1	23	40	0	0.52
2023	6	1	23	50	0	0.39
2023	6	2	0	0	0	0.3
2023	6	2	0	10	0	0.14
2023	6	2	0	20	0	0.1

2023	6	2	10	20	0	0.13
2023	6	2	10	30	0	0.27
2023	6	2	10	40	0	0.34
2023	6	2	10	50	0	0.46
2023	6	2	11	0	0	0.45
2023	6	2	11	10	0	0.51
2023	6	2	11	20	0	0.48
2023	6	2	11	30	0	0.41
2023	6	2	11	40	0	0.34
2023	6	2	11	50	0	0.25
2023	6	2	12	0	0	0.15
2023	6	2	22	0	0	0.14
2023	6	2	22	10	0	0.18
2023	6	2	22	20	0	0.46
2023	6	2	22	30	0	0.64
2023	6	2	22	40	0	0.85
2023	6	2	22	50	0	1.02
2023	6	2	23	0	0	1.16
2023	6	2	23	10	0	1.19
2023	6	2	23	20	0	1.29
2023	6	2	23	30	0	1.3
2023	6	2	23	40	0	1.27
2023	6	2	23	50	0	1.26
2023	6	3	0	0	0	1.16
2023	6	3	0	10	0	1.02
2023	6	3	0	20	0	0.9
2023	6	3	0	30	0	0.79
2023	6	3	0	40	0	0.67
2023	6	3	0	50	0	0.47
2023	6	3	1	0	0	0.29
2023	6	3	1	10	0	0.17
2023	6	3	1	20	0	0.16
2023	6	3	10	50	0	0.2
2023	6	3	11	0	0	0.24
2023	6	3	11	10	0	0.39
2023	6	3	11	20	0	0.48
2023	6	3	11	30	0	0.63
2023	6	3	11	40	0	0.62
2023	6	3	11	50	0	0.68
2023	6	3	12	0	0	0.65
2023	6	3	12	10	0	0.57
2023	6	3	12	20	0	0.51
2023	6	3	12	30	0	0.44
2023	6	3	12	40	0	0.27
2023	6	3	12	50	0	0.21
2023	6	3	22	40	0	0.19
2023	6	3	22	50	0	0.21
2023	6	3	23	0	0	0.53
2023	6	3	23	10	0	0.72
2023	6	3	23	20	0	0.91
2023	6	3	23	30	0	1.07
2023	6	3	23	40	0	1.28
2023	6	3	23	50	0	1.35
2023	6	4	0	0	0	1.45
2023	6	4	0	10	0	1.47
2023	6	4	0	20	0	1.42
2023	6	4	0	30	0	1.42
2023	6	4	0	40	0	1.35
2023	6	4	0	50	0	1.2
2023	6	4	1	0	0	1.08
2023	6	4	1	10	0	0.99
2023	6	4	1	20	0	0.86
2023	6	4	1	30	0	0.65
2023	6	4	1	40	0	0.45
2023	6	4	1	50	0	0.27
