year	month	day	hour	minute	second	U(m/s)	V(m/s)
2023	6	1	18	0	0	1.88831191	-5.350824246
2023	6	1	18	10	0	NaN	NaN
2023	6	1	18	20	0	NaN	NaN
2023	6	1	18	30	0	NaN	NaN
2023	6	1	18	40	0	NaN	NaN
2023	6	1	18	50	0	NaN	NaN
2023	6	1	19	0	0	2.759096213	-5.675972142
2023	6	1	19	10	0	NaN	NaN
2023	6	1	19	20	0	NaN	NaN
2023	6	1	19	30	0	NaN	NaN
2023	6	1	19	40	0	NaN	NaN
2023	6	1	19	50	0	NaN	NaN
2023	6	1	20	0	0	3.275250224	-5.392998241
2023	6	1	20	10	0	NaN	NaN
2023	6	1	20	20	0	NaN	NaN
2023	6	1	20	30	0	NaN	NaN
2023	6	1	20	40	0	NaN	NaN
2023	6	1	20	50	0	NaN	NaN
2023	6	1	21	0	0	3.633189195	-5.083722279
2023	6	1	21	10	0	NaN	NaN
2023	6	1	21	20	0	NaN	NaN
2023	6	1	21	30	0	NaN	NaN
2023	6	1	21	40	0	NaN	NaN
2023	6	1	21	50	0	NaN	NaN
2023	6	1	22	0	0	3.527913027	-4.617087432
2023	6	1	22	10	0	NaN	NaN
2023	6	1	22	20	0	NaN	NaN
2023	6	1	22	30	0	NaN	NaN
2023	6	1	22	40	0	NaN	NaN
2023	6	1	22	50	0	NaN	NaN
2023	6	1	23	0	0	3.404589516	-5.259673999
2023	6	1	23	10	0	NaN	NaN
2023	6	1	23	20	0	NaN	NaN
2023	6	1	23	30	0	NaN	NaN
2023	6	1	23	40	0	NaN	NaN
2023	6	1	23	50	0	NaN	NaN
2023	6	2	0	0	0	2.707059707	-5.208430328
2023	6	2	0	10	0	NaN	NaN
2023	6	2	0	20	0	NaN	NaN
2023	6	2	0	30	0	NaN	NaN
2023	6	2	0	40	0	NaN	NaN
2023	6	2	0	50	0	NaN	NaN
2023	6	2	1	0	0	2.148795228	-5.252418258
2023	6	2	1	10	0	NaN	NaN
2023	6	2	1	20	0	NaN	NaN
2023	6	2	1	30	0	NaN	NaN
2023	6	2	1	40	0	NaN	NaN
2023	6	2	1	50	0	NaN	NaN
2023	6	2	2	0	0	1.873874035	-5.087803633
2023	6	2	2	10	0	NaN	NaN
2023	6	2	2	20	0	NaN	NaN
2023	6	2	2	30	0	NaN	NaN
2023	6	2	2	40	0	NaN	NaN
2023	6	2	2	50	0	NaN	NaN
2023	6	2	3	0	0	1.266280152	-4.498728156
2023	6	2	3	10	0	NaN	NaN
2023	6	2	3	20	0	NaN	NaN
2023	6	2	3	30	0	NaN	NaN
2023	6	2	3	40	0	NaN	NaN
2023	6	2	3	50	0	NaN	NaN
2023	6	2	4	0	0	0.441516574	-3.664317935
2023	6	2	4	10	0	NaN	NaN
2023	6	2	4	20	0	NaN	NaN
2023	6	2	4	30	0	NaN	NaN
2023	6	2	4	40	0	NaN	NaN
2023	6	2	4	50	0	NaN	NaN
2023	6	2	5	0	0	-0.210894878	-3.097009681
2023	6	2	5	10	0	NaN	NaN
2023	6	2	5	20	0	NaN	NaN
2023	6	2	5	30	0	NaN	NaN
